Organisation,Number of payments,Total amount
Paypal *shenzhenshi,5,38.64
Air Cadets,4,650
Gargrave Tenants Association,2,323.34
Sherforce High Court Enforcement,1,769.28
Museumsassc,10,7251.32
Pizza Hut 365,1,11.82
Subtech Safety Ltd,17,3197.5
Leventhorpe Vineyard,18,4129.9
Selecta UK Gbp,6,8.4
Freshfayre Ltd,2,100000
Oxford Exhibition Services Ltd,2,1585
Miss C M Y Ng,1,500
Zep Uk Ltd,60,39554.23
Steven Hargreaves,1,450
Blackberry Productions,1,1180
Rotherham Ethnic Minority Alliance,1,2000
Mercure London City Banks,5,367.6
Demex Ltd,53,49040.43
Micklefield Parish Council,28,410104
Hollybank Trust,266,4523253.59999999
TUCKER AND TUNSTALLS LTD,2,52845
Post Office Counter,1431,1087071.52
Stella House Residential Home,7,23471.19
Meanwood Parkside Road Allotments,2,550
Sg World Ltd,1,122
Gasrec Ltd,33,89608.88
We Are Boutique Ltd,1,1200
Www.66fit.Com,3,625.42
The Joker Entertaiment,4,1230
Imspa,1,598
The Church In Rodley,2,92
International Dancer Teachers,1,560
Store Financial Servic,12,1037.5
Lbia 0113 3913295,6,117.08
Richard Barker,2,2995
WOODHILL HOUSE RESIDENTIAL HOME,2,3095.89
Lonsto (International) Ltd,3,1635.6
Walton Web,2,1061.61
Barnardos Safer Families,4,1000
Urban Coco Ltd,1,6560
Man City * Online,1,34.95
Parentpay E-Com R,16,331.98
Mb Solutions (Holdings) Ltd,1,1401.86
H&m Online,1,100.78
Gill Morris Communications (Gmc),1,62.5
Https://Delegates.Eurocit,1,631.11
Leeds Reach,15,30506
York House Residential Home,26,58955.23
Danny Butler,4,2768
Julia Snowdin Thompson,2,300
Charles Wrigley,2,1399.31
Red Carpet Hospitality Ltd,1,400
Craven College,5,1622.5
Alan Clayton Concerts Ltd,1,24721.12
MIDDLETON NEIGHBOURHOOD & FAMILY,1,5869.5
Everyman Media Ltd,6,30470.83
Derby City Council,4,2850
Tesco Stores 5456,1,28
Universal Pictures International Uk,11,2985.84
Www.Beamish.Org.Uk,1,80
Clark Home Support,1,92
Aardvark Archery,11,1083.45
Www.Evaq8.Co.Uk,10,409.18
Heaton Avenue First & Nursery School,1,475
Nina Turton,1,50
CASCADE HOMES LTD,42,154792.75
Pontville School Ltd,13,242547.84
James Thompson,1,120
Cannes Accomod.,2,2378.7
Hem Interiors Group Ltd,3,1458.9
Sarah Bennett,1,400
Roma Support Group,2,157.23
Sue Ryder Care - Wheatfields,2,1700
Re-Form Landscape Architecture,11,30805
Skr*simply Electronics,1,324.95
Stockspring Antiques,2,4650
Marks Magic Kingdom,1,250
Paypal *milgreen2,1,1000
Ria & Ka Simpson T/A Iain Simpson,1,1237.5
Lookers Ford,437,410308.11
Virgin Trains Ec,8,43.93
Malibu Corp Ltd,5,2151.58
Aspire In The Community,22,76916.31
C Scruton (Produce) Ltd,2602,106171.83
ROYAL ARMOURIES,3,9981
Paypal *wonderwalla,2,29.79
Proventure Consulting Ltd,56,193908.64
Donate Via Caf,1,75
Paypal *ding Xu,1,17.86
Uber Gb Oct15 Hlaoc Help.,1,3.28
Arabic Business Centre,5,184.8
Shackleton Mortimer & Sons Ltd,4,569
Otley Courthouse,4,10180.98
Bolton Abbey Mowers Lt,53,21696.22
Paritor Ltd,15,31455.98
Webmerge,1,186.58
Gorgemead Ltd,67,78590.73
Leeds Print Company,1,132
Eazzee.Co.Uk,6,2848.4
Techno Vision Systems Ltd,1,188
Helen Voisey Garden Design,1,1500
STEETON COURT,4,7019.83
Tom Ball Live,13,20218.17
All Safe & Secure Ltd,5,538.5
Royal Liverpool & Broadgreen University,22,4606.22
Global Radio Ltd,2,4000
Laser Ex,1,101.05
Fazal Karim,7,12350
Tricia Nicoll Consulting Ltd,1,819.1
Friends Of Thorpe (P.T.A),2,2242
White Light Ltd,3,1653.9
United Utilities Water Plc,5,3885.17
British Gas Tradin,2,60
Otis Ltd,9,9950.88
R Aghdam,5,800.3
Www.Peeks.Co.Uk,9,1408.95
Paypal *vimhari,1,154.5
Bob Wild Grass Machine,29,51019.87
Admiral Signs Visual Imaging Ltd,2,5781
Jdr Cooling & Energy Ltd,1,6889
Acco Brands Service Division,4,757.65
Paypal *ticktockunl,10,1181.83
Wright Sign Service,1,1380
Mash Media Group Ltd,6,13005
Garforth Show,2,300
Castle Donington Nursing Home,25,44959.14
Aagrah Restaurant,2,1608.5
Engie Power Ltd,351,47823550.4100001
Malit Ltd,1,1601.2
Rowel Genn Ltd Solicitors Client Account,3,26000
Jake Ellis,8,3820
Bewleys Leeds Fexco Mc,31,4452.91
Jonathan Aasgaard,1,750
Habitat Health Ltd,3,2387.7
Acorns Nursery,65,389645.28
Hypergraph Laboratory Supplies Ltd,3,404.99
Db Bahn A-Nr Kagubb,1,80.79
Bethel House,60,108107.91
Koussa Architects Ltd,6,15675
Abbey Lea Residential Care Home,62,71111.5999999999
Vision Techniques/uk/ltd,1,925
Www.Roller-Blinds-Direct,4,576.7
Alexis Waitman,1,500
Royal United Hospital Bath Nhs Trust,2,576.41
Acorn Lodge,1,500
Lighting And Illumination Technology,29,30736
J&r Sports Ltd,1,397.5
Raman Patel,1,600
Clifford Allotment Holders Association,1,500
Keyline Morley,61,56973.87
Light Up Rodley,2,500
Alzheimers Research Uk,1,100
Www.Iom.Gov.Im,1,153.85
Matthew Rudd (Bacs),1,425
Walkityorkshire,1,930
ST ANNES SHELTER & HOUSING ACTION,33,369673.16
Fareshare Yorkshire Ltd,16,169908
Diane Saunders,1,100
Home-Start Leeds,96,1686233.1
Amvale Medical Transport Ltd,3,1158.7
Penny Ford,5,450
Business And Enterprise Commercial Ltd,2,1375
Www.Bradfordchamber.Co,2,871.71
Methley And Mickletown In Bloom,5,850
National Appropriate Adult Network Ltd,7,1100
Social Exclusion Action Planning Network,6,305
Www.Aals.Org.Uk,1,724
Foster Focus Ltd,1,1500
Paypal *mobilitycho,1,13.36
Keith Drake Ltd,66,19285.13
GARFITTS INTERNATIONAL LTD,3,3899.11
Rukhsana Khawaja,20,5904.85
Dee Shepherd,2,1450
Tesco Pay At Pump 4082,1,34.96
Runwood Homes Group,1,1482.4
Bmmjv Ltd,86,43341681.39
Tony Banks Fruit & Veg,2,2140
Jj Food Service Ltd,177,5952899.1
C R Gibson,2,780
Peter Cameron,1,19000
Gresh (Oaklands) Ltd,12,46648.2
West Yorkshire Bat Group,1,50
Www.Baaf.Org.Uk,11,689.89
Partridge & Print,5,715.42
Lamont & Co,25,13600
Resolution Television Ltd,4,20400
Paypal *amldirect,3,307.74
Www.Prochem.Co.Uk,1,34.73
J N Bentley Ltd,2,32043.95
R.A. Peatey & Sons Ltd,3,1379
192 business Ltd,1,1650
Getinvited.To,4,293.08
S & S Estates,2,1130
Https://Accommodationb,1,250
Takeaway Food,2,33.28
Scientific Analysis Laboratories Ltd,204,86850.88
Avizandum Law Bookshop,1,220
David Limb,3,1130
Maxine Forrest,19,14815.76
SURVEY SUPPLIES LTD,1,2265
M Farbod,2,53
SHADWELL PRE-SCHOOL PLAYGROUP,2,27101.31
CLEAPSS,1,10203.3
PFEIFER DRAKO LTD,4,13005.06
St George'S Crypt,4,80095
Gnh Cafe Bars Ltd,5,605.8
D Rushworth,2,120
Velvit Ltd,13,14612.36
Simon Murray,1,75
Red Slayer Ltd,4,2072
W H Marsden,10,22063.8
Leeds Play Network,50,493537.47
Health & Care Partnership Ltd,1,8456.3
Courthouse Street Car Park,33,133.68
Hunslet Newsagency,50,2665.79
Civic Enterprise Leeds,2,0.02
Briarsdale Community Centre,2,850
A Maywell Ltd,7,6985
Team South West Ltd,41,11568.6
Armley Pharmacy,4,18.01
Baker Richards,2,5021.92
Church Gardens Luncheon Club,1,1452.25
D Miller,1,1000
Kn Management Ltd,1,3501.5
Premicom,1,4.4
B Herovi,40,4888.02
Compass Cafes,6,42.84
Atfutsal Group,4,1142
H K Sagoo,10,3667.59
Gurpreet Singh,6,1517.88
Hoist And Shower Chair Co Ltd,2,1610
Voakes Free From Ltd,23,3340.6
H S Peplow & Son,1,782.83
Rundlewalker Solicitors,6,33755.1
McDonalds Restaurant,2,34.99
Readsoft Ltd,5,4785.72
Breakers Unify,6,4872
Dowlis,2,3223.57
Ministry Of Chocolate Ltd,1,900
The Governor,14,280
Yates Printworks,2,14.5
Q-Park Wilmslow Park,1,6.25
Gail Coleman,8,9876.74
Parker Merchanting-Dom,4,321.3
Horsforth Grove Methodist Church,59,142895.39
Total Gas & Power Ltd,3,1602.25
Dr Manoj Narayan,24,4521
Chambers Touring Ltd,31,325452.49
Imosphere Ltd,2,3443.65
Mojo Films,18,37094.2
Patricia Ingram,15,11307.56
Phil Mcintyre Entertainments,1,997
Opus North (Ted) Llp,1,25000
Springfield Homecare Services Ltd,704,4802029.97
Elizabeth Garside,1,113
Premier Hazard Ltd,9,927.93
Oliver Warriner Associates,9,2500
Ltt Vending Group Ltd,71,11101.52
Granning UK Ltd,3,889.16
Kurdish & Middle Eastern Womens,2,103
Paul Orr,2,970
Mc2 Technical Recruitment Ltd,3,907.25
Jumping Jack'S Nursery,22,121152.46
INTERPRINT LTD,3,3355
Chocolate Collective Ltd,2,2200
Mesh Supplies & Fabrications Ltd,1,1084.08
Metis Consultants Ltd,11,37167.8
Fletcher Europe Ltd,6,1881
Greasbrough Nursing & Residential Home,14,23611.53
Tig,1,960
Leeds Rentals,17,11346.48
Firefly Audio Visual Solutions Ltd.,2,322.5
Catch Up,1,1000
OCS Group UK Ltd,3,3691.96
Priestley Lettings,17,12148
Great Victoria Restaurant And Hotel,1,490.42
Glenthorpe & Walford Community Group,9,2700
Intro Industrial Supplies,2445,276970.37
Www.Thetapestore.Co.Uk,1,148.3
Www.Thecookingschool.C,1,208.33
West Villa Residential Home,101,125346.54
Wirral Borough Council,2,40630
Gatewood Consulting Ltd,1,275
Steve Hall,1,500
Eb *yamph Cicc Regiona,2,81.42
Stellex Ltd,1,195
Ups Ltd Shipping Fees,14,1524.48
The Cyclist Touring Club,2,2745
WADE LANE DEVELOPMENTS LTD,3,68014.92
Proquest Information And Learning Ltd,3,19780
Stefan Gec,5,3926.79
Bistre Nursing Home,21,25658.8
MAKING SPACE,6,16030.38
Maniza Hussain,24,7323.63
Phone Street,6,6135.83
Brain Injury Rehabillitation Trust,96,216005.11
Waterstones.Com,17,743.81
Farzana & A Hussain,1,400
Nas Scotland People,1,30.89
Carr Plumbing & Heating,1,691.2
Mrs F A O'Callaghan,14,4161.66
Warner Properties,2,6720
Bardsey Parish Council,17,265498
K R Boyce,1,500
Ee Store 4977,2,179.98
Ecamm Network  Llc,1,18.59
Pfeifer Drako Ltd,29,49923.11
T C HARRISON JCB,1,8357.32
Catherine Barningham,1,250
Ifs Independent Family Service,1,2562
Popshots Studio Ltd,8,2597.2
Tradition Giftware Ltd,5,4214.78
University Of Birmingham,11,19907.5
Psl Enterprises Ltd,29,17783.47
The Rookery,101,2344227.85
Zavvi.Com,1,94.57
Anita Devi Ltd,1,717.89
The Select & Save (Lee,1,3.5
Church Avenue Medical Group,1,151.42
Amad Mezori,7,1587.85
Absolute Retail Ltd,1,27.5
Ben Mills,1,807.12
Mainline Menswear,2,245
Kings Fund,1,378
Chippindale Plant Ltd-,1,397.5
Iz *safe Haven In Paradis,1,565
Addictive Media,3,2250
Building Link Ltd,1,700
Imagineer Development Uk Cic,164,92226.6
Makers Uk Ltd,1,6179.4
T Prutsa,26,8842.69
A1 Designs,1,194
Euston Hotel,1,180
British Education Supplies Association,1,3237.96
Www.Careinfo.Org,2,92.39
Mend-A-Hose Hydrau,5,435.41
Inglewood Nursing Home,13,27992.23
Katie Paterson,1,75
Latitude 56 Ltd,2,298
Brigshaw Learning Partnership,21,142937.57
Artloss.Com,1,60
Larchfield Residential Home,552,5405573.57000001
Commercial Services Design Ltd,1,1560
Xp Solutions Ltd,6,8748
Yorkshire Lifting Tackle Ltd,19,4497.98
Juice Boardsports Ltd,6,6554.86
St Georges Healthcare Nhs Trust,11,2338.58
Comfort Inn Victoria,1,157.5
Wetherby Rufc,1,250
Nicolas Carew,1,50
Ascent Performance Gro,1,66.33
Faber And Faber Ltd,1,139.86
Scanflex Ltd,1,2412.75
Picturehouse At Na,1,68.1
Harland (Garden Machinery) Ltd,1,1060
T V LICENSING,1,582
Pakex (Uk) Plc,24,21020.3
Adam Young,4,1450
Oliver Dover,2,800
Stagecoach Service Ltd,32,24057.62
Elliott Group Ltd,364,85752.16
Digifish Media Productions,31,67900
Joseph Williams,2,450
A K Briscoe,1,2240
Terravision London Financ,1,7.95
Positive Media Promotions Ltd,1,590
Centre For Public Scrutiny,4,703.96
Giffgaff.Com,30,516.75
National Outdoor Events Association,4,720
Hope Not Hate,2,1650
Northamptonshire Healthcare,7,1263
Mark & Tracy Wallace,1,420
Aldi 40 779,12,341.38
Eden Brown Ltd,254,225452.41
Pet-Id Microchips Ltd,2,185.42
Oulton Methodist Church,2,475
Adam De La Cour,1,334.2
Northern Snooker Ctr,10,74.68
The Wooden Bridge Company,3,12892
Urbanbiz Solutions Ltd,12,35240
Www.Theknowledgeacadem,1,715
St Margarets Rectory,17,58800
Tta Re Worldchoice,1,2195
M Widdup & Sons Ltd,4,3727.86
Ncr Ltd,6,487.95
C&L PLUMBING SERVICES,127,406657.23
Excel Water,9,2754
Transparencydata Ltd,1,3900
Rotherham Borough Council,11,26074.55
Ann Marie Bracchi,25,4288.7
Paypal *bac Web,1,111.66
Peter David Properties Brighouse Ltd,1,1200
Continental Sports Ltd,33,97038.12
Meadowfield Lodge,16,49977.25
N P D Ltd,3,5895
ROOKWOOD NURSING HOME,2,10049.28
Sar Lubricants,1,46.5
Shives Ltd 20467,3,57.09
Fast-Lines,1,1000
Johnstones Dec Ctr,2,1727.18
Judith Ransom,7,7500
Highspeed Group Ltd,1,597.6
Vodafone,1,10
Zurich Insurance,2,3960.64
Drug Opera,1,28.08
Building Design Partnership Ltd,1,1575
Starbucks -1278145,1,20
Parentpay.Com - V/t,4,573
Great Victoria Hotels Ltd,1,995.83
Wyndham Hall Care Home,2,693.4
Morley Library,4,57.98
Acca,1,83
Vivien Sabel,3,2400
Paypal *olgalongleg,1,49.99
Airedale Mechanical & Electrical Ltd,8,28910.23
Www.Unipartrail.Com,3,871.78
Morley Leisure Centre,7,130.83
Arcadis,1,4500
Pompidou,1,13.25
Honest Media,1,780
Absolute Design,1,7500
N & C Building Products Ltd,19,17450.13
Featherandblack.Co,1,216.67
Www.Ukprintprice.Com,1,355
D J Willrich Ltd,1,1590
Paypal *bluefrog,1,18.65
Celsian Education,19,28232.64
Jml Hardware Ltd,5,2435
Alex Palmer,2,1147
Demco Interiors,1,1741.85
Forward Chemicals,4,2835.48
County Scaffolding Services Ltd,1,720
Select Music And Video Distribution Ltd,5,1980
FERROL LODGE,2,1861.92
Just Checking Ltd,17,42057.64
Www.Kingscamps.Org,1,298
Hartley & Worstenholme Solicitors,1,607.04
Sjr Properties,1,525
Thomas Owen N H,74,396621.47
Rotary Club Of Calverley,3,1500
Uk Rigging,1,4950
Thyssenkrupp Access Ltd,4,11633.6
Saudha Society Of Poetry And Indian,7,3550
Kenneth Neame Ltd,1,98000
Leeds Herd Ltd,15,73900
Heritage Music & Caswells,35,23244.89
Eb *express Yourself I,1,30
Leeds Carpets & Furnit,1,738
Madeleine Lindley Ltd,6,1176.63
Burton Costa,1,3.32
Dvla - Fleet,51,39683
Paypal *rogersrarit,1,3.24
Thorner Parish Council,25,249963
Rail Gourmet,1,7.08
Www.Craftcompany.Co.Uk,1,7.37
JOWETT & SOWRY LTD,3,2716
Rm Plastering Services Ltd,2,8778.01
Jason Lam,1,22
Paul S.J.Fahy,1,675
West Yorkshire Analytical Services,16,5659
Collingham Pre School,12,39393
3d Productions Ltd,117,339878.56
Bargain Booze 140,2,82
Lion Estate And Lettings,1,1950
Oliver Hunt Golf,5,585
Sma Property Rent Account,1,650
Rocket Editorial Ltd,1,250
J M Collins,5,3950
Cyberstein Robots Ltd,2,3495
Clear Properties,1,660
Upwork Escrow Inc.,42,52693.49
Boldman Ltd,1,1620
Sp * Delphis Eco Uk,3,1917.8
Fsc (Halifax) Ltd,7,7019.02
Foursight Theatre,1,1549
Andrea Gray,13,6057.29
Morrigan Ltd,1,623.88
Mhfa England Cic,1,800
Www.Essexrecordoffice.,1,300
Leeds Partnerships Nhs Foundation Trust,355,11640260.43
Nigel Peever,1,150
Simba Consultants Ltd,8,6571
Birchencliffe Gard,3,146.67
Around The Clock Stores Ltd,161,15550.9
Gregory Kotovs,9,2910
Genecon Llp,1,9125
Leeds Hunters Rufc,2,300
Duncan Wells Consultant,4,2791.4
Heathbank Properties (Bacs),2,2050
Rebel Solutions Ltd,1,1000
Bramley Vets4pets Ltd,1,51.9
Bag It Don'T Bin It Ltd,2,2110
Bright Skies Day Nursey,9,20088.85
WEST HOUSE,2,2583.44
Harris ( Weymouth) Ltd,1,33
Claire Cowell,1,54.17
Cimspa,12,13881.8
Kgbdeals.Co.Uk,1,49
Flotech Performance Syste,1,916
Total Hygiene Ltd,420,550175.3
Private Hire,6,140
C I Johnstone Ltd,5,8317.2
Xerox (Uk) Ltd,50,13521.51
Crawshaw Butchers Ltd,14,65939.67
Research Bods Online Ltd,2,3480
Frosts,3,350.58
Brian Richardson,22,2929.95
St Anthony'S Rc Church,3,150
Allpay Limted,166,329792.46
Museums & Galleries Ltd,14,11207.73
Community Transport As,15,11392.51
Tipple Associates Ltd,2,60
Cosmo - Doncaster,1,12.3
Marcher Roofing Ltd,21232,7523307.14999943
Simon Bradshaw,2,250
Otley Town Partnership Ltd,2,12000
Cardiff Lodge,2,312
Decus Ltd,2,4400
Robinsons Electrical Contractors,2,2630
Yorkshire Youth & Music Ltd,27,28125
Letz Move,1,550
Neotelia,2,2532.41
Family Futures Consort,1,259
Saltoun Surgery,1,75.71
Stefan Brochwicz-Lewinski,1,700
Www.Springer.Com,1,52.99
Cawthorne Brass Band,3,800
Axiomatic Technology,1,285
Jonathan Scott,1,450
B R M Interiors,1,1680
ROGER BICKERDIKE,1,787.5
Quality Garden Supplies,2,5246.8
Harehills Youth In Partnership,1,8747
Mansell Construction Services Ltd,1,2795
Apcoawebseason,2,842.08
Smiggle,1,34.58
Parochial Church Council All Saints Thor,1,500
Carpets Are Us,1,460
Harbourne,1,306.13
Live Smart @ Home Ltd,2,950
Addiction Dependency Solutions,10,566810.8
Options Autism Ltd,15,189780.17
Www.Fta.Co.Uk,20,6206.99
I. Fairlamb,1,1000
Janette Gibbons,1,410.4
Dual Energy Direct,2,531.74
KONICA MINOLTA BUSINESS SOLUTIONS,22,15366.45
MOTT MACDONALD LTD,2,23336.43
Sp Rinkitcom,2,252.13
Marsh Uk Ltd,90,2243332.88
Leodis Community Cafe,1,200
Paypal *hangletonbo,1,29.95
Taras Stefanyszyn,1,500
Candeserv,4,2297.5
King Sturge Llp Re Wellington Place,1,1070.25
Public Health England,33,14115.05
Victoria And Albert Museum,8,26240.62
Becky Cherriman,4,605.26
Languard Ltd,92,735650.8
Eyp Direct Ltd,1,19.17
Bohumila Durinova,16,1393.77
Linda Teebay,10,4563.29
The Papershop,56,5415.99
Martin And Co,2,1475
Clearchanne,1,1000
SURVEILLANCE SOLUTIONS LTD,8,17317.8
Lawson-His.Co.Uk,4,240.41
Eoa Systems,1,1251.32
Wellington,5,98.24
Sacktrucksdirect.C,2,94.84
Alere Toxicology Plc,176,27402.65
Eyewitness,1,650
Www.Tysoft.Co.Uk,3,359.55
Bauer Corporate Services,4,30282.39
Arnold Clark Finance Ltd,63,23217.15
Amanda Wheat,9,2032.84
Rp Simpson Electrical,1,7786
HAYES & FINCH LTD,1,577.28
Cardiac Science Holdin,46,14964.25
Zerodb Event Solutions Ltd,1,2125
Leeds Irish Arts Foundation,25,23763.67
North East Autism Society,18,836238.5
M & G Transport & Technical Services,8,5915.6
Events Solution Ltd,16,23651.98
Regent Spore-Reservation,3,1022.68
Mercure Dortmund Centr,1,155.12
Kippax Athletic Junior Football Club,1,600
Signe Baumane,1,61.63
Shell Kirkstall,18,674.98
Gwens Sewing Box,1,765
Mallatite Ltd,2,752.18
Supreme Creations Ltd,1,428.99
Queenswood Tenants & Residents Assoc,18,5698.92
Ray Hope Group,1,50
Medics Uk,4,9938.86
Brian Durrant,1,83
Kd Refrigeration Ltd,1,75
Procare Recruitment Ltd.,3,4826.99
Neil Luck,1,200
Smhi,1,5125
Resonant Media Ltd,1,15659.72
Milford Ltd,2806,444758.439999999
Manston Park Bowls Club,1,150
Www.Flybe.Coasbzzd,1,137.99
Tuv Sud Ltd Dunbar Boardman,1,750
West Lea Park Day,1,195
Paul Fenner Services,3,30000
Lesley Birch,1,120
Euclid Int,7,1663
Amalgamated Construction,1,120
GRANADA LEARNING LTD,1,519.37
Arriva Trains Wales,1,91.5
B & M Fabrics,6,1597.41
Leasowe Castle Hotel,2,786
Kier Construction Ltd,10,1786838.52
Priestleys,7,6642.79
Hillborough Nursing Home,51,98535.79
Expert Family Law Psychology Ltd,2,1631.45
Isabel Ryan,1,30
Shantona Womens Centre,262,1159713.63
WVH Vehicle Hire Ltd,9,5453
Paypal *pinpointfac,1,125.82
Www.Thehistorypress.Co,1,12.99
Hsj Wilmington Healthcare Ltd,1,1593.68
Britvic Soft Drinks Ltd,13,6896.35
Teamsport Indoor Karting,1,411.87
Coloursense Ltd,1,86
M-Bitz Ltd,1,60
J Hey,1,75
Ubiqus Uk Ltd,6,476.23
Hebden Bridge Dental Care Ltd,1,9175
EASY TRAVEL,10,90934.49
Paypal *burtreeangl,1,84.95
Xl Displays,10,3869.8
Funstation Ltd,2,11
Wns Assistance,1,7558.07
The Uk Foodhall Ltd,5,18653.6
Gentle Jazz Sextet,1,200
Paypal *weldingequi,1,71.36
Dr Darbyshire & Partners,3,110
Pool Feast 2011,1,750
Emap Publishing Ltd,16,34733
Maha Uk Ltd,6,9292
Www.Leedsredhot.Co.Uk,1,20.83
Poundworld Retail,214,2981.06
Redbox Residential,2,1440
Steven Burt,1,1360.48
Paypal *iwd-Aurora,1,158.99
Black Dyke Band 1855 Promotions Ltd,19,65473.29
Coton Manor Gardens,1,15.83
Suzy Lamplugh Trust,2,11700
National Museums Liverpool,2,3250
Mamma Dels,1,12.1
Robert Boulter,1,4000
Kfc-Leeds Horsforth,4,43.34
Jet2onboardshopp,1,9.12
Ayersome Terrace,99,1595553.36
Paintball North Li,16,6215
Mencap In Kirklees,9,34260
Leeds Irish Health And Homes,2,26076.75
Eyfhs,12,166.2
Tockwith Karting Ltd,2,612.5
TRADITION (UK) LTD,1,3963.56
Meiko UK Ltd,2,362.5
Marmax Products Ltd,10,9057.1
Independent Cinema Off,1,25
Wm Denton & Son Clients No 2 Account,1,695
Richmond Hill Academy,2,1090
Schools Opt-In Ltd,2,16367
Signature Entertainment Ltd,2,1196
Quarry House Nursery,31,124514.74
Futurelabs,4,147000
Gen Register Office Ni,3,45
Key Consulting (North West) Ltd,1,530.8
Royal Naval Association,3,435.2
Granwood Flooring Ltd,2,103993.61
S Khondaker,59,12303.91
Awbridge Business Consulting Ltd,2,1060
Netball Yorkshire,1,60
Mcc-Patrol,7,112623.42
Yousef Bashir,4,230.75
I G ALLMAN & PARTNERS,1,800
Plumbcall Northern Ltd,2,7500
Colne Valley Residential Home,3,10346.09
Miriam Nohl,1,166
Highline Extreme Ltd,1,10000
Ray Malone,1,75
Www.Pallettrucks.Co.Uk,1,402
Wwwkitkingcouk,1,807.02
Avs Steps Ltd,53,17832.45
Ice Plumbing & Water Services Ltd,5,560
Watsons Law Llp,1,92722.66
Hunmanby Surgery,1,25.75
Paypal *qwick Fitt,1,21.9
Municipal Vehicle Services Ltd,1,165
Armley Community Fun Day,3,3450
Life Environmental Services Ltd,1,2800
Graham Alexander,3,3963.81
Johnson And Alcock,1,400
Childrens Centre Family Services Ene,5,310.57
INRO,1,2333.08
Ammerhurst Ltd,2,35.75
Sugarman Group Ltd,2,3265.28
Noblet Municipal Services Ltd,175,432038.03
SMALLPRINT,2,4654
Scils,5,25375
Just Addictive Music,4,2030
Living Eggs,4,980
T W Cartwright,1,574.1
Axminster.Co.Uk,6,354.39
Green Hangers Ltd,1,2500
W A Hawkin & Sons Ltd,35,10728.28
JUDITH MILNER,1,761
Umbra B.V.,3,6843
Gazebo Spare Parts Ltd,1,129.52
One Stop 2859,1,3.85
Kiss Media Uk,11,16636.2
Dr T. Patel,1,187
Www.Blacksheeppress.Co.U,1,60
Owstan Hall Hotel,6,1310.85
FOSTER CARE ASSOCIATES LTD,164,538582
Nationwide Disposables,2,1770.49
Cemex Uk Materials Ltd,121,55823.97
Together Women Yorkshire And Humberside,2,4893.95
See Ability,35,45991.4
Phillip Mccann,5,1000
Leeds Citizens Advice Bureau,107,10650807.23
Opus Vl Ltd,1,2250
Salvation Army,245,1139791.23
Www.Nfer.Ac.Co.Uk,1,156.25
Tesco Stores 6692,2,15.14
Sp * Mail Order Trees,1,14.95
Www.Shopfitdesigns.Com,1,440
Paypal *ebayeuropes,2,124.46
York Timber Harewood,1,5000
Sibongile Sibanda,1,13
The Angel Inn,1,58.33
Mis Fuel Monitoring,2,966.5
Sc Walmgate Management Lt,3,3696
Access Hire Nationwide Ltd,56,61159.71
Hesp Jones & Co Ltd,1,840
Bristol Museums  Galleries & Archives,1,7700
Tynetec A Bu Of Legrand Electric Ltd,97,384898.39
Ripple Foundation C.I.C,8,264000
Www.Microdrainage.Co.U,1,3385.03
Paypal *digitaltoys,1,62
Cyp Arts Ltd,1,156
Www.Meonuk.Com,1,89.2
Horsforth Choral Society,1,1500
V Jain,1,150
World Of Service International Ltd,2,4100
Tunstall Healthcare (Uk) Ltd,912,3906769.62999998
BRADFORD INDEPENDENT HEALTH CARE,22,122348.8
AGE Uk,1,2128
Kfc,11,78.33
Wider Options Ltd,180,8500534.62
Office Watercoolers Ltd,6,2527.62
Www.Eclplastics.Co.Uk,2,223.75
Nightline,2,125
